date,image,đường trước nhà,số tầng,số phòng ngủ,chỗ để xe,diện tích,kích thước,hướng nhà,giá,địa chỉ 
27/09/2020,/files/properties/2020/9/27/thumbnails/07009736-0524-ban-biet-thu-nha-lien-ke-ha-noi.jpg,"3,5m",5 lầu,5 phòng ngủ,chỗ để xe, 40 m vuông, 4x10m, _," 7,7 tỷ ","Phố Trần Quốc Hoàn, Phường Nghĩa Đô, Quận Cầu Giấy, Hà Nội"
26/09/2020,/files/properties/2020/9/26/thumbnails/0ban-kiot-chan-de-toa-chung-cu-khu-do-thi-viet-hung-lo-goc-4-5-ty.jpg,NULL,1 lầu,1 phòng ngủ,chỗ để xe, 86 m vuông, ---, _," 4,5 tỷ ","Đường Lưu Khánh Đàm, Phường Việt Hưng, Quận Long Biên, Hà Nội"
26/09/2020,/files/properties/2020/9/13/thumbnails/06920290-4412-ban-nha-trong-hem-quan-hoang-mai-gia-re.jpg,3m,4 lầu,4 phòng ngủ,NULL, 59 m vuông, ---, _," 4,3 tỷ ","Phố Tân Mai, Phường Tân Mai, Quận Hoàng Mai, Hà Nội"
26/09/2020,/files/properties/2020/9/26/thumbnails/07008656-2917-ban-dat-tho-cu-dat-o-ha-noi-gia-re.jpg,3m,5 lầu,5 phòng ngủ,chỗ để xe, 60 m vuông," 4,3x14m", _," 4,8 tỷ ","Đường Cầu Giấy, Phường Quan Hoa, Quận Cầu Giấy, Hà Nội"
26/09/2020,/files/properties/2020/9/21/thumbnails/06968504-3046-ban-dat-tho-cu-dat-o-quan-thanh-xuan-gia-re.jpg,8m,NULL,NULL,NULL, 45 m vuông, 5x9m, _," 5,6 tỷ ","Đường Nguyễn Lân, Phường Phương Liệt, Quận Thanh Xuân, Hà Nội"
26/09/2020,/files/properties/2020/9/20/thumbnails/06962610-2753-ban-nha-mat-tien-quan-dong-da.jpg,5m,4 lầu,8 phòng ngủ,chỗ để xe, 205 m vuông," 8,5x24,2m", _, 31 tỷ ,"Phố Đặng Văn Ngữ, Phường Trung Tự, Quận Đống Đa, Hà Nội"
26/09/2020,/files/properties/2020/9/26/thumbnails/07006728-2422-ban-dat-tho-cu-dat-o-ha-noi.jpg,3m,NULL,NULL,NULL, 38 m vuông, ---, Tây Bắc, 40 triệu / m,"Đường Lai Xá, Xã Kim Chung, Huyện Hoài Đức, Hà Nội"
26/09/2020,/files/properties/2020/9/26/thumbnails/07006672-1831-ban-dat-tho-cu-dat-o-huyen-hoai-duc-chinh-chu.jpg,7m,NULL,NULL,NULL, 60 m vuông, 5x12m, Tây Nam," 1,85 tỷ ","Xã Đức Thượng, Huyện Hoài Đức, Hà Nội"
26/09/2020,/files/properties/2020/9/26/thumbnails/07005024-0428-ban-nha-mat-tien-ha-noi-chinh-chu.jpg,6m,5 lầu,4 phòng ngủ,chỗ để xe, 50 m vuông, ---, _," 6,4 tỷ ","Đường Kim Mã, Phường Kim Mã, Quận Ba Đình, Hà Nội"
26/09/2020,/files/properties/2020/9/26/thumbnails/07004863-4939-ban-dat-tho-cu-dat-o-huyen-dan-phuong-chinh-chu.jpg,9m,NULL,NULL,chỗ để xe, 106 m vuông, ---, _," 4,15 tỷ ","Đường Đồng Ông, Xã Đan Phượng, Huyện Đan Phượng, Hà Nội"
26/09/2020,/files/properties/2020/9/26/thumbnails/07003691-5239-ban-nha-mat-tien-quan-cau-giay.jpg,30m,3 lầu,6 phòng ngủ,NULL, 200 m vuông," 8,4x24m", _, 38 tỷ ,"Phố Tô Hiệu, Phường Nghĩa Đô, Quận Cầu Giấy, Hà Nội"
26/09/2020,/files/properties/2020/9/26/thumbnails/07003654-4356-ban-nha-mat-tien-ha-noi-chinh-chu.jpg,20m,4 lầu,6 phòng ngủ,NULL, 100 m vuông," 6,9x15m", _, 65 tỷ ,"Phố Triệu Việt Vương, Phường Bùi Thị Xuân, Quận Hai Bà Trưng, Hà Nội"
26/09/2020,/files/properties/2020/9/26/thumbnails/0hiem-mat-pho-thai-thinh-tay-son-dong-da-via-he-rong-kinh-doanh-dinh-gia-chi-235tr-m2.jpg,30m,6 lầu,12 phòng ngủ,NULL, 118 m vuông," 6,9x19m", _," 28,5 tỷ ","Phố Thái Thịnh, Phường Láng Thượng, Quận Đống Đa, Hà Nội"
26/09/2020,/files/properties/2020/9/26/thumbnails/07003588-2252-ban-nha-trong-hem-ha-noi-gia-re.jpg,3m,3 lầu,3 phòng ngủ,chỗ để xe, 100 m vuông, ---, _," 4,2 tỷ ","Đường Phú Minh, Phường Minh Khai, Quận Bắc Từ Liêm, Hà Nội"
26/09/2020,/files/properties/2020/4/7/thumbnails/06019804-4822-ban-biet-thu-nha-lien-ke-quan-hoang-mai-gia-re.jpg,20m,4 lầu,6 phòng ngủ,NULL, 250 m vuông, ---, _, 17 tỷ ,"Đường Linh Đàm, Phường Hoàng Liệt, Quận Hoàng Mai, Hà Nội"
25/09/2020,/files/properties/2020/9/25/thumbnails/07003104-4130-ban-nha-trong-hem-quan-long-bien.jpg,4m,NULL,NULL,chỗ để xe, 64 m vuông," 4,2x16m", _," 4,5 tỷ ","Phố Bồ Đề, Phường Bồ Đề, Quận Long Biên, Hà Nội"
25/09/2020,/files/properties/2020/9/25/thumbnails/27002976-5809-ban-nha-trong-hem-quan-nam-tu-liem-gia-re.jpg,5m,4 lầu,4 phòng ngủ,chỗ để xe, 31 m vuông, ---, _," 2,7 tỷ ","Đường Cầu Diễn, Phường Cầu Diễn, Quận Nam Từ Liêm, Hà Nội"
25/09/2020,/files/properties/2020/9/25/thumbnails/07002908-3828-ban-nha-trong-hem-ha-noi-chinh-chu.jpg,5m,4 lầu,4 phòng ngủ,chỗ để xe, 32 m vuông, ---, _," 2,8 tỷ ","Đường Cầu Diễn, Phường Cầu Diễn, Quận Nam Từ Liêm, Hà Nội"
25/09/2020,/files/properties/default.jpg,NULL,18 lầu,2 phòng ngủ,NULL, 64 m vuông, ---, Đông Bắc," 1,25 tỷ ","Đường Trần Thủ Độ, Xã Tứ Hiệp, Huyện Thanh Trì, Hà Nội"
25/09/2020,/files/properties/2020/9/12/thumbnails/06916818-1109-ban-nha-mat-tien-quan-hai-ba-trung-chinh-chu.jpg,5m,1 lầu,1 phòng ngủ,NULL, 42 m vuông, ---, _," 3,49 tỷ ","Đường Minh Khai, Phường Minh Khai, Quận Hai Bà Trưng, Hà Nội"
24/09/2020,/files/properties/2020/9/24/thumbnails/16995508-1428-ban-nha-trong-hem-ha-noi.jpg,5m,4 lầu,4 phòng ngủ,chỗ để xe, 33 m vuông, ---, _," 2,8 tỷ ","Đường Cầu Diễn, Phường Cầu Diễn, Quận Nam Từ Liêm, Hà Nội"
24/09/2020,/files/properties/2020/9/24/thumbnails/0ban-nha-dang-xay-gom-co-3-nha-lien-nhau-dien-tich-40-2m2-35m2-38-m2-huong-bac.jpg,"2,5m",5 lầu,6 phòng ngủ,NULL, 40 m vuông, ---, Bắc, 75 triệu / m,"Đường Cổ Nhuế, Phường Cổ Nhuế 2, Quận Bắc Từ Liêm, Hà Nội"
24/09/2020,/files/properties/2020/9/24/thumbnails/06989054-2031-ban-nha-trong-hem-ha-noi-chinh-chu.jpg,5m,4 lầu,3 phòng ngủ,chỗ để xe, 51 m vuông, ---, _," 7,8 tỷ ","Đường Nguyễn Phong Sắc, Phường Nghĩa Tân, Quận Cầu Giấy, Hà Nội"
23/09/2020,/files/properties/2020/9/23/thumbnails/06945636-4608-ban-dat-nen-lien-ke-dat-du-an-ha-noi-chinh-chu.jpg,9m,NULL,NULL,NULL, 330 m vuông, 19x16m, _, 45 triệu / m,"Đường Kim Quan Thượng, Phường Việt Hưng, Quận Long Biên, Hà Nội"
23/09/2020,/files/properties/2020/9/18/thumbnails/06951896-4427-ban-nha-mat-tien-ha-noi-gia-re.jpg,8m,9 lầu,3 phòng ngủ,chỗ để xe, 171 m vuông, ---, _," 38,5 tỷ ","Đường Lê Đức Thọ, Phường Mỹ Đình 1, Quận Nam Từ Liêm, Hà Nội"
23/09/2020,/files/properties/2020/9/4/thumbnails/06866012-1537-ban-dat-tho-cu-dat-o-ha-noi-chinh-chu.jpg,9m,NULL,NULL,NULL, 1.000 m vuông, ---, _," 3,2 triệu / m","Quốc lộ 21A, Xã Tân Xã, Huyện Thạch Thất, Hà Nội"
23/09/2020,/files/properties/2020/9/23/thumbnails/06981336-3739-ban-nha-mat-tien-ha-noi-gia-re.jpg,10m,4 lầu,4 phòng ngủ,NULL, 83 m vuông," 4,5x18m", Tây Nam," 11,3 tỷ ","Đường Lạc Long Quân, Phường Bưởi, Quận Tây Hồ, Hà Nội"
22/09/2020,/files/properties/2020/9/22/thumbnails/06978758-0832-ban-nha-trong-hem-ha-noi.jpg,3m,5 lầu,4 phòng ngủ,chỗ để xe, 33 m vuông, 4x8m, Tây Nam," 2,5 tỷ ","Đường Hoàng Mai, Phường Hoàng Văn Thụ, Quận Hoàng Mai, Hà Nội"
22/09/2020,/files/properties/2020/9/22/thumbnails/0ban-nha-vinh-hung-dt-23m-5tang-1-35-ty-ngo-nong-rong-gan-cho-dem-vinh-hung.jpg,2m,5 lầu,3 phòng ngủ,NULL, 23 m vuông," 3,6x8m", _," 1,35 tỷ ","Đường Lĩnh Nam, Phường Vĩnh Hưng, Quận Hoàng Mai, Hà Nội"
21/09/2020,/files/properties/2020/9/25/thumbnails/0nha-vien-k3-tan-trieu-47m2-3-5-tang-mt12m-o-to-kinh-doanh-phong-tro-dinh-chi-7-5-ty.jpg,5m,3 lầu,4 phòng ngủ,NULL, 47 m vuông, ---, Tây Bắc," 7,5 tỷ ","Đường Phùng Hưng, Phường Kiến Hưng, Quận Hà Đông, Hà Nội"
19/09/2020,/files/properties/2020/7/5/thumbnails/06482393-4443-ban-dat-tho-cu-dat-o-quan-long-bien-chinh-chu.jpg,3m,NULL,NULL,NULL, 100 m vuông," 8,13x12,25m", Đông Bắc, 58 triệu / m,"Đường Tân Thụy, Phường Phúc Đồng, Quận Long Biên, Hà Nội"
19/09/2020,/files/properties/2020/9/19/thumbnails/06958287-2737-ban-biet-thu-nha-lien-ke-ha-noi-chinh-chu.jpg,15m,4 lầu,4 phòng ngủ,NULL, 50 m vuông, ---, _, 6 tỷ ,"Phố Xa La, Phường Phúc La, Quận Hà Đông, Hà Nội"
18/09/2020,/files/properties/2020/9/18/thumbnails/20200918_113549_118171_0.jpg,NULL,1 lầu,3 phòng ngủ,NULL, 88 m vuông, ---, _," 1,95 tỷ ","Đường Tứ Hiệp, Xã Tứ Hiệp, Huyện Thanh Trì, Hà Nội"
18/09/2020,/files/properties/2020/9/18/thumbnails/06953021-1843-ban-nha-mat-tien-quan-cau-giay-chinh-chu.jpg,8m,7 lầu,6 phòng ngủ,NULL, 87 m vuông, ---, _," 27,5 tỷ ","Phố Trung Kính, Phường Yên Hòa, Quận Cầu Giấy, Hà Nội"
18/09/2020,/files/properties/2020/9/18/thumbnails/06952440-2614-ban-dat-tho-cu-dat-o-huyen-thanh-oai-chinh-chu.jpg,7m,NULL,NULL,NULL, 65 m vuông, 5x13m, Đông," 27,8 triệu / m","Đường Quốc lộ 21B, Xã Kim Thư, Huyện Thanh Oai, Hà Nội"
18/09/2020,/files/properties/2020/9/18/thumbnails/06951919-4634-ban-nha-mat-tien-ha-noi-gia-re.jpg,6m,6 lầu,6 phòng ngủ,NULL, 50 m vuông, 5x10m, Tây Nam," 11,5 tỷ ","Đường Lạc Long Quân, Phường Bưởi, Quận Tây Hồ, Hà Nội"
17/09/2020,/files/properties/2020/9/17/thumbnails/06949793-4547-ban-nha-trong-hem-ha-noi-gia-re.jpg,5m,4 lầu,4 phòng ngủ,chỗ để xe, 55 m vuông, ---, _," 4,8 tỷ ","Phố Xa La, Phường Phúc La, Quận Hà Đông, Hà Nội"
17/09/2020,/files/properties/2020/7/17/thumbnails/06569932-4036-ban-nha-mat-tien-quan-tay-ho-chinh-chu.jpg,"3,5m",10 lầu,25 phòng ngủ,NULL, 155 m vuông, ---, _, 39 tỷ ,"Đường Lạc Long Quân, Phường Bưởi, Quận Tây Hồ, Hà Nội"
17/09/2020,/files/properties/2020/9/17/thumbnails/06945780-2359-ban-nha-trong-hem-ha-noi-gia-re.jpg,3m,4 lầu,4 phòng ngủ,chỗ để xe, 55 m vuông, ---, _, 3 tỷ ,"Đường Quang Trung, Phường Phú La, Quận Hà Đông, Hà Nội"
16/09/2020,/files/properties/2020/9/17/thumbnails/20200917_044437_591534_0.jpg,NULL,8 lầu,2 phòng ngủ,chỗ để xe, 85 m vuông, ---, _," 3,7 tỷ ","Đường Võ Chí Công, Phường Phú Thượng, Quận Tây Hồ, Hà Nội"
14/09/2020,/files/properties/2020/9/3/thumbnails/0chinh-chu-can-ban-manh-dat-dt-613-5m2-tai-mat-duong-chinh-quoc-lo-21.jpg,12m,NULL,NULL,NULL, 613 m vuông, ---, _, 13 triệu / m,"Quốc lộ 21A, Xã Hòa Thạch, Huyện Quốc Oai, Hà Nội"
11/09/2020,/files/properties/2020/9/11/thumbnails/06907513-4633-ban-nha-mat-tien-ha-noi.jpg,7m,7 lầu,5 phòng ngủ,NULL, 60 m vuông, ---, Tây Bắc," 15,5 tỷ ","Phố Thái Hà, Phường Láng Hạ, Quận Đống Đa, Hà Nội"
09/09/2020,/files/properties/2020/9/9/thumbnails/0can-ban-nha-dat-ql3-nga-tu-1-5-gia-3-7-ty-dien-tich-70m.jpg,10m,5 lầu,6 phòng ngủ,NULL, 70 m vuông, 5x14m, _," 3,7 tỷ ","Đường Quốc Lộ 3, Thị trấn Đông Anh, Huyện Đông Anh, Hà Nội"
08/09/2020,/files/properties/2020/9/8/thumbnails/06885722-5151-ban-nha-mat-tien-huyen-thanh-tri.jpg,5m,4 lầu,4 phòng ngủ,NULL, 49 m vuông, ---, Tây Nam," 6,9 tỷ ","Đường Triều Khúc, Xã Tân Triều, Huyện Thanh Trì, Hà Nội"
05/09/2020,/files/properties/2020/9/5/thumbnails/06866686-2100-ban-nha-mat-tien-quan-ha-dong.jpg,5m,5 lầu,4 phòng ngủ,NULL, 54 m vuông, ---, Tây Nam," 6,7 tỷ ","Phố Phan Đình Giót, Phường La Khê, Quận Hà Đông, Hà Nội"
03/09/2020,/files/properties/2020/9/3/thumbnails/06842780-2255-ban-nha-trong-hem-quan-hoang-mai-chinh-chu.jpg,75m,2 lầu,3 phòng ngủ,chỗ để xe, 75 m vuông," 4x18,75m", _," 2,7 tỷ ","Đường Lĩnh Nam, Phường Mai Động, Quận Hoàng Mai, Hà Nội"
Hôm nay,/files/properties/2020/9/29/thumbnails/0nha-dep-ban-nha-pho-nguyen-trai-ba-gac-do-43mx5t-tien-4-2m-2-9-ty-.jpg,"3,4m",5 lầu,4 phòng ngủ,chỗ để xe, 43 m vuông, ---, _," 2,9 tỷ ","Đường Nguyễn Trãi, Phường Thượng Đình, Quận Thanh Xuân, Hà Nội"
Hôm nay,/files/properties/2020/9/29/thumbnails/07022162-1517-ban-nha-trong-hem-ha-noi.jpg,"3,5m",5 lầu,3 phòng ngủ,chỗ để xe, 42 m vuông, ---, _," 2,4 tỷ ","Phố Định Công Hạ, Phường Định Công, Quận Hoàng Mai, Hà Nội"
Hôm nay,/files/properties/2020/7/31/thumbnails/06657819-2655-ban-nha-trong-hem-ha-noi.jpg,"2,5m",5 lầu,3 phòng ngủ,NULL, 34 m vuông, ---, Đông Bắc," 3,77 tỷ ","Đường Hoàng Hoa Thám, Phường Vĩnh Phúc, Quận Ba Đình, Hà Nội"
Hôm nay,/files/properties/2020/6/19/thumbnails/06377727-5822-ban-nha-mat-tien-ha-noi-gia-re.jpg,4m,4 lầu,3 phòng ngủ,NULL, 42 m vuông, ---, _," 3,5 tỷ ","Đường Yên Phúc, Phường Văn Quán, Quận Hà Đông, Hà Nội"
Hôm nay,/files/properties/2020/6/17/thumbnails/06363423-3414-ban-nha-trong-hem-ha-noi-gia-re.jpg,4m,3 lầu,3 phòng ngủ,NULL, 38 m vuông, ---, _," 2,75 tỷ ","Đường Lê Hồng Phong, Phường Hà Cầu, Quận Hà Đông, Hà Nội"
Hôm nay,/files/properties/2020/5/31/thumbnails/06255269-5150-ban-nha-trong-hem-ha-noi-gia-re.jpg,4m,4 lầu,4 phòng ngủ,NULL, 35 m vuông, ---, _," 2,35 tỷ ","Đường Nguyễn Khuyến, Phường Văn Quán, Quận Hà Đông, Hà Nội"
Hôm nay,/files/properties/2020/6/10/thumbnails/06315333-3327-ban-nha-trong-hem-quan-ha-dong.jpg,4m,5 lầu,3 phòng ngủ,NULL, 40 m vuông, ---, _," 2,9 tỷ ","Đường Văn Phú, Phường Phú La, Quận Hà Đông, Hà Nội"
Hôm nay,/files/properties/2020/9/9/thumbnails/06299253-4224-ban-nha-trong-hem-quan-ha-dong-chinh-chu.jpg,4m,4 lầu,4 phòng ngủ,NULL, 40 m vuông, ---, _," 2,35 tỷ ","Đường Đa Sĩ, Phường Kiến Hưng, Quận Hà Đông, Hà Nội"
Hôm nay,/files/properties/2020/6/14/thumbnails/06345168-2238-ban-nha-trong-hem-ha-noi.jpg,4m,5 lầu,3 phòng ngủ,NULL, 35 m vuông, ---, _," 2,95 tỷ ","Đường Vạn Phúc, Phường Vạn Phúc, Quận Hà Đông, Hà Nội"
Hôm nay,/files/properties/2020/7/2/thumbnails/06462405-4833-ban-nha-trong-hem-ha-noi.jpg,3m,3 lầu,3 phòng ngủ,NULL, 41 m vuông, ---, _," 2,18 tỷ ","Đường Ngô Quyền, Phường La Khê, Quận Hà Đông, Hà Nội"
Hôm nay,/files/properties/2020/6/24/thumbnails/06414459-3551-ban-nha-trong-hem-ha-noi.jpg,4m,4 lầu,5 phòng ngủ,NULL, 40 m vuông, ---, _," 3,85 tỷ ","Đường Trần Phú, Phường Văn Quán, Quận Hà Đông, Hà Nội"
Hôm nay,/files/properties/2020/6/22/thumbnails/0ha-dong-kinh-doanh-via-he-duong-rong-12m-nha-tan-co-dien-6-ty.jpg,12m,5 lầu,4 phòng ngủ,NULL, 50 m vuông, ---, _, 6 tỷ ,"Đường Lê Trọng Tấn, Phường La Khê, Quận Hà Đông, Hà Nội"
Hôm nay,/files/properties/2020/7/13/thumbnails/06535409-4739-ban-nha-trong-hem-quan-ha-dong-chinh-chu.jpg,10m,4 lầu,4 phòng ngủ,NULL, 42 m vuông, ---, _, 4 tỷ ,"Đường Tô Hiệu, Phường Hà Cầu, Quận Hà Đông, Hà Nội"
Hôm nay,/files/properties/2020/7/8/thumbnails/06504778-2711-ban-nha-trong-hem-quan-ha-dong-gia-re.jpg,"4,5m",5 lầu,3 phòng ngủ,NULL, 36 m vuông, ---, _," 3,95 tỷ ","Đường Lê Trọng Tấn, Phường La Khê, Quận Hà Đông, Hà Nội"
Hôm nay,/files/properties/2020/8/25/thumbnails/06807596-4456-ban-nha-trong-hem-ha-noi-gia-re.jpg,3m,4 lầu,4 phòng ngủ,NULL, 65 m vuông," 3,5x18m", _," 4,5 tỷ ","Phố Trần Quốc Vượng, Phường Dịch Vọng, Quận Cầu Giấy, Hà Nội"
Hôm nay,/files/properties/2020/8/25/thumbnails/06807805-1124-ban-nha-trong-hem-quan-cau-giay-chinh-chu.jpg,3m,4 lầu,4 phòng ngủ,NULL, 71 m vuông," 4x17,5m", _," 5,4 tỷ ","Đường Yên Hòa, Phường Nghĩa Đô, Quận Cầu Giấy, Hà Nội"
Hôm nay,/files/properties/2020/8/25/thumbnails/06807882-2027-ban-nha-mat-tien-quan-dong-da-chinh-chu.jpg,9m,5 lầu,5 phòng ngủ,NULL, 30 m vuông, 3x10m, _, 7 tỷ ,"Phố Hoàng Cầu, Phường Cát Linh, Quận Đống Đa, Hà Nội"
Hôm nay,/files/properties/2020/8/28/thumbnails/06827109-4930-ban-nha-trong-hem-quan-dong-da-gia-re.jpg,3m,5 lầu,5 phòng ngủ,NULL, 40 m vuông, 5x8m, _," 3,6 tỷ ","Đường Nguyễn Chí Thanh, Phường Láng Thượng, Quận Đống Đa, Hà Nội"
Hôm nay,/files/properties/2020/9/3/thumbnails/06858225-4346-ban-nha-mat-tien-quan-ha-dong-chinh-chu.jpg,6m,6 lầu,6 phòng ngủ,NULL, 45 m vuông," 4x11,5m", _, 8 tỷ ,"Đường Lê Lợi, Phường Quang Trung, Quận Hà Đông, Hà Nội"
Hôm nay,/files/properties/2020/9/3/thumbnails/06858455-2458-ban-nha-trong-hem-ha-noi-gia-re.jpg,3m,5 lầu,4 phòng ngủ,NULL, 40 m vuông," 3,5x1111m", _," 2,9 tỷ ","Đường Đào Tấn, Phường Đội Cấn, Quận Ba Đình, Hà Nội"
Hôm nay,/files/properties/2020/9/3/thumbnails/06858541-4913-ban-nha-mat-tien-ha-noi-chinh-chu.jpg,5m,5 lầu,5 phòng ngủ,NULL, 60 m vuông," 4,5x13m", _," 6,9 tỷ ","Phố Đội cấn, Phường Đội Cấn, Quận Ba Đình, Hà Nội"
Hôm nay,/files/properties/2020/9/4/thumbnails/06860764-0930-ban-nha-mat-tien-quan-cau-giay.jpg,6m,4 lầu,5 phòng ngủ,NULL, 81 m vuông," 5,5x14,5m", _, 15 tỷ ,"Đường Nguyễn Văn Huyên, Phường Dịch Vọng, Quận Cầu Giấy, Hà Nội"
Hôm nay,/files/properties/2020/9/4/thumbnails/06863334-5910-ban-nha-mat-tien-quan-ha-dong-chinh-chu.jpg,6m,5 lầu,5 phòng ngủ,NULL, 51 m vuông, 4x12m, _, 9 tỷ ,"Đường Quang Trung, Phường Quang Trung, Quận Hà Đông, Hà Nội"
Hôm nay,/files/properties/2020/9/4/thumbnails/06863147-4059-ban-nha-trong-hem-ha-noi.jpg,6m,6 lầu,6 phòng ngủ,NULL, 60 m vuông," 4,5x13m", _, 11 tỷ ,"Đường Nguyễn Văn Huyên, Phường Dịch Vọng, Quận Cầu Giấy, Hà Nội"
Hôm nay,/files/properties/2020/9/4/thumbnails/0chinh-chu-ban-nha-mat-pho-phan-dinh-giot-ha-dong-57m-5t-mt5m-gia-6-5-ty-lo-goc-.jpg,5m,5 lầu,5 phòng ngủ,NULL, 57 m vuông, 5x12m, _," 6,5 tỷ ","Phố Phan Đình Giót, Phường La Khê, Quận Hà Đông, Hà Nội"
Hôm nay,/files/properties/2020/9/4/thumbnails/06861181-3718-ban-nha-trong-hem-ha-noi.jpg,3m,5 lầu,5 phòng ngủ,NULL, 45 m vuông," 4x11,5m", _," 4,5 tỷ ","Đường Nguyễn Văn Huyên, Phường Dịch Vọng, Quận Cầu Giấy, Hà Nội"
Hôm nay,/files/properties/2020/9/5/thumbnails/0ban-nha-nguyen-ngoc-nai-thanh-xuan-55m-5t-mt-4-5-gia-6-ty-o-to-do-cua-kinh-doanh-.jpg,6m,5 lầu,5 phòng ngủ,NULL, 55 m vuông," 4,5x14,5m", _, 6 tỷ ,"Phố Nguyễn Ngọc Nại, Phường Nhân Chính, Quận Thanh Xuân, Hà Nội"
Hôm nay,/files/properties/2020/9/5/thumbnails/06870228-5911-ban-nha-trong-hem-quan-thanh-xuan.jpg,3m,5 lầu,4 phòng ngủ,NULL, 40 m vuông," 3,5x11m", _," 3,8 tỷ ","Đường Khương Đình, Phường Khương Đình, Quận Thanh Xuân, Hà Nội"
Hôm nay,/files/properties/2020/9/9/thumbnails/06893259-3710-ban-nha-trong-hem-ha-noi.jpg,3m,4 lầu,4 phòng ngủ,NULL, 40 m vuông, 5x8m, _, 4 tỷ ,"Phố Pháo Đài Láng, Phường Láng Thượng, Quận Đống Đa, Hà Nội"
Hôm nay,/files/properties/2020/9/9/thumbnails/06893309-4344-ban-nha-mat-tien-quan-nam-tu-liem-gia-re.jpg,6m,5 lầu,5 phòng ngủ,NULL, 40 m vuông, 5x8m, _, 5 tỷ ,"Đường Hoàng Công Chất, Phường Mỹ Đình 2, Quận Nam Từ Liêm, Hà Nội"
Hôm nay,/files/properties/2020/9/9/thumbnails/06893137-0927-ban-nha-mat-tien-quan-dong-da-gia-re.jpg,6m,6 lầu,6 phòng ngủ,NULL, 106 m vuông, 6x17m, _, 27 tỷ ,"Phố Tôn Đức Thắng, Phường Quốc Tử Giám, Quận Đống Đa, Hà Nội"
Hôm nay,/files/properties/2020/9/9/thumbnails/06893156-1349-ban-nha-trong-hem-ha-noi-chinh-chu.jpg,6m,5 lầu,5 phòng ngủ,NULL, 70 m vuông, 5x14m, _, 13 tỷ ,"Phố Trung Kính, Phường Trung Hòa, Quận Cầu Giấy, Hà Nội"
Hôm nay,/files/properties/2020/9/9/thumbnails/06893169-1815-ban-nha-mat-tien-quan-cau-giay-gia-re.jpg,8m,5 lầu,5 phòng ngủ,NULL, 70 m vuông, 5x14m, _, 21 tỷ ,"Đường Hoàng Quốc Việt, Phường Nghĩa Đô, Quận Cầu Giấy, Hà Nội"
Hôm nay,/files/properties/2020/9/9/thumbnails/06893195-2440-ban-nha-trong-hem-ha-noi-gia-re.jpg,4m,4 lầu,4 phòng ngủ,NULL, 50 m vuông, 4x13m, _," 3,9 tỷ ","Đường Trần Phú, Phường Quang Trung, Quận Hà Đông, Hà Nội"
Hôm nay,/files/properties/2020/8/18/thumbnails/06765733-1053-ban-nha-mat-tien-quan-dong-da.jpg,6m,5 lầu,5 phòng ngủ,NULL, 50 m vuông," 3,5x14m", _," 10,5 tỷ ","Phố Hồ Đắc Di, Phường Quốc Tử Giám, Quận Đống Đa, Hà Nội"
Hôm nay,/files/properties/2020/8/19/thumbnails/06769320-4941-ban-nha-trong-hem-ha-noi.jpg,6m,4 lầu,5 phòng ngủ,NULL, 90 m vuông, 5x18m, _," 8,3 tỷ ","Phố Văn Quán, Phường Văn Quán, Quận Hà Đông, Hà Nội"
Hôm nay,/files/properties/2020/8/19/thumbnails/06769510-0835-ban-nha-trong-hem-quan-ha-dong.jpg,5m,3 lầu,3 phòng ngủ,NULL, 70 m vuông," 5,2x14m", _," 5,3 tỷ ","Phố Xa La, Phường Phúc La, Quận Hà Đông, Hà Nội"
Hôm nay,/files/properties/2020/8/19/thumbnails/06769630-2129-ban-nha-trong-hem-quan-ha-dong.jpg,5m,4 lầu,4 phòng ngủ,NULL, 60 m vuông, 4x15m, _," 4,6 tỷ ","Đường Lê Quý Đôn, Phường Nguyễn Trãi, Quận Hà Đông, Hà Nội"
Hôm nay,/files/properties/2020/8/19/thumbnails/0nha-dep-o-luon-tran-phu-ha-dong-45m-5t-mt3-5-gia-3-1-ty-ngo-nong-rong-thoang-.jpg,4m,5 lầu,5 phòng ngủ,NULL, 45 m vuông," 3,5x13,8m", _," 3,1 tỷ ","Đường Trần Phú, Phường Nguyễn Trãi, Quận Hà Đông, Hà Nội"
Hôm nay,/files/properties/2020/8/19/thumbnails/06770789-2440-ban-nha-mat-tien-ha-noi-chinh-chu.jpg,9m,5 lầu,5 phòng ngủ,NULL, 65 m vuông," 4,4x14,5m", _," 17,5 tỷ ","Phố Vọng, Phường Đồng Tâm, Quận Hai Bà Trưng, Hà Nội"
Hôm nay,/files/properties/2020/8/19/thumbnails/06770859-2944-ban-nha-mat-tien-quan-ha-dong-gia-re.jpg,6m,5 lầu,5 phòng ngủ,NULL, 45 m vuông," 4,4x10m", _," 4,6 tỷ ","Phố Lý Thường Kiệt, Phường Quang Trung, Quận Hà Đông, Hà Nội"
Hôm nay,/files/properties/2020/8/19/thumbnails/06771968-1241-ban-nha-trong-hem-quan-thanh-xuan.jpg,5m,8 lầu,24 phòng ngủ,NULL, 100 m vuông, 4x25m, _, 12 tỷ ,"Phố Chính Kinh, Phường Nhân Chính, Quận Thanh Xuân, Hà Nội"
